# WELL TRACE FROM PETREL 
# WELL NAME:              F-12
# DEFINITIVE SURVEY:      REF
# WELL HEAD X-COORDINATE: 435050.21000000 (m)
# WELL HEAD Y-COORDINATE: 6478566.23000000 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 54.90000000 (m)
# WELL TYPE:              OIL
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM ED50-UTM31 ("MENTOR:ED50-UTM31:European 1950 Based UTM, Zone 31 North, Meter") [SIS,501080]
# AZIM_TN: azimuth in True North 
# AZIM_GN: azimuth in Grid North 
# DX DY ARE GIVEN IN GRID NORTH IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#===============================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY        AZIM_TN        INCL         DLS        AZIM_GN
#===============================================================================================================================================
 0.0000000000 435050.21000 6478566.2300 54.900000000 0.0000000000 -0.000000000 0.0000000000 359.05198278 0.0000000000 0.0000000000 0.0000000000
 145.90000000 435050.21000 6478566.2300 -91.00000000 145.90000000 -0.000000000 0.0000000000 359.05198278 0.0000000000 0.0000000000 0.0000000000
 159.95000000 435050.21175 6478566.2229 -105.0499974 159.94999743 0.0017529283 -0.007142026 165.26198278 0.0600000000 0.1281138790 166.21000000
 174.00000000 435050.21701 6478566.2014 -119.0999795 173.99997946 0.0070117119 -0.028568102 165.26198278 0.1200000000 0.1281138790 166.21000000
 189.00000000 435050.22443 6478566.1736 -134.0999518 188.99995178 0.0144342747 -0.056354818 162.69462775 0.0998493816 0.0414777539 163.64264497
 204.00000000 435050.23173 6478566.1513 -149.0999332 203.99993325 0.0217303403 -0.078715482 158.84198278 0.0800000000 0.0414777539 159.79000000
 219.00000000 435050.24617 6478566.1327 -164.0999141 218.99991415 0.0361706658 -0.097328398 128.12882228 0.1065533286 0.1112904325 129.07683949
 234.00000000 435050.27503 6478566.1161 -179.0998767 233.99987665 0.0650259978 -0.113871859 112.32198278 0.1500000000 0.1112904325 113.27000000
 249.00000000 435050.31839 6478566.1033 -194.0998078 248.99980779 0.1083869595 -0.126687108 100.35098697 0.1973972063 0.1189007449 101.29900418
 264.00000000 435050.37634 6478566.0959 -209.0996932 263.99969323 0.1663441565 -0.134115394 93.201982782 0.2500000000 0.1189007449 94.150000000
 279.00000000 435050.44740 6478566.0947 -224.0995243 278.99952425 0.2373993424 -0.135252461 87.218173042 0.2938187791 0.1043174200 88.166190261
 294.00000000 435050.53005 6478566.1008 -239.0992946 293.99929462 0.3200542690 -0.129194062 82.821982782 0.3400000000 0.1043174200 83.770000000
 309.00000000 435050.61969 6478566.1115 -254.0990227 308.99902275 0.4096908265 -0.118474593 81.659693285 0.3499319904 0.0242983681 82.607710504
 324.00000000 435050.71169 6478566.1244 -269.0987349 323.99873488 0.5016909465 -0.105628434 80.561982782 0.3600000000 0.0242983681 81.510000000
 339.00000000 435050.81116 6478566.1404 -284.0983959 338.99839586 0.6011560668 -0.089639430 79.355872269 0.4099289130 0.1011590287 80.303889487
 354.00000000 435050.92319 6478566.1605 -299.0979632 353.99796316 0.7131875743 -0.069491431 78.411982782 0.4600000000 0.1011590287 79.360000000
 369.00000000 435051.05105 6478566.1939 -314.0973784 368.99737837 0.8410465188 -0.036149623 71.123252209 0.5518290211 0.2239181702 72.071269428
 384.00000000 435051.19799 6478566.2494 -329.0965527 383.99655267 0.9879936689 0.0194207188 65.971982782 0.6500000000 0.2239181702 66.920000000
 399.00000000 435051.36011 6478566.3550 -344.0952873 398.99528729 1.1501055273 0.1249640491 48.326579836 0.8457337007 0.6001244102 49.274597055
 414.00000000 435051.53346 6478566.5382 -359.0931474 413.99314738 1.3234559430 0.3082226645 37.911982782 1.0900000000 0.6001244102 38.860000000
 424.00000000 435051.67225 6478566.7365 -369.0901675 423.99016747 1.4622507344 0.5065063536 31.547243464 1.6888398511 1.8524788444 32.495260682
 434.00000000 435051.85000 6478567.0352 -379.0840728 433.98407277 1.6399994266 0.8051871117 28.531914359 2.2975740924 1.8524788444 29.479931577
 444.00000000 435052.06668 6478567.4342 -389.0737025 443.97370249 1.8566813743 1.2042302499 26.781982782 2.9100000000 1.8524788444 27.730000000
 454.00000000 435052.32526 6478567.9352 -399.0577332 453.95773320 2.1152593388 1.7052109502 26.000469223 3.5562704735 1.9432703463 26.948486441
 464.00000000 435052.62869 6478568.5397 -409.0347645 463.93476449 2.4186891167 2.3096884638 25.459134174 4.2029980983 1.9432703463 26.407151392
 474.00000000 435052.97693 6478569.2476 -419.0035212 473.90352117 2.7669319261 3.0175855318 25.061982782 4.8500000000 1.9432703463 26.010000000
 484.00000000 435053.37405 6478570.0470 -428.9635382 483.86353820 3.1640532889 3.8169799652 25.835217756 5.3959360373 1.6508173969 26.783234974
 494.00000000 435053.82412 6478570.9260 -438.9145878 493.81458782 3.6141222123 4.6959573133 26.466650941 5.9426699155 1.6508173969 27.414668160
 504.00000000 435054.32710 6478571.8844 -448.8557522 503.75575216 4.1170971833 5.6544365017 26.991982782 6.4900000000 1.6508173969 27.940000000
 514.00000000 435054.88118 6478572.9086 -458.7876602 513.68766019 4.6711769604 6.6785561591 27.914101632 6.8885074183 1.2381504642 28.862118851
 524.00000000 435055.48457 6478573.9845 -468.7112088 523.61120884 5.2745708250 7.7544767605 28.735638576 7.2885893337 1.2381504642 29.683655794
 534.00000000 435056.13725 6478575.1121 -478.6258832 533.52588320 5.9272474688 8.8821424730 29.471982782 7.6900000000 1.2381504642 30.420000000
 544.00000000 435056.80860 6478576.2443 -488.5388069 543.43880693 6.5985997562 10.014333057 29.973256322 7.4427102100 0.7678341399 30.921273540
 554.00000000 435057.46803 6478577.3339 -498.4573148 553.35731481 7.2580338101 11.103851910 30.508741053 7.1960221833 0.7678341399 31.456758272
 564.00000000 435058.11554 6478578.3807 -508.3812089 563.28120894 7.9055364716 12.150677285 31.081982782 6.9500000000 0.7678341399 32.030000000
 574.00000000 435058.73074 6478579.3745 -518.3125907 573.21259070 8.5207385385 13.144486630 30.520234231 6.4792256329 1.4259858882 31.468251450
 584.00000000 435059.29325 6478580.3049 -528.2532377 583.15323771 9.0832518392 14.074926574 29.870933476 6.0091650662 1.4259858882 30.818950695
 594.00000000 435059.80304 6478581.1719 -538.2024658 593.10246579 9.5930376592 14.941933085 29.111982782 5.5400000000 1.4259858882 30.060000000
 604.00000000 435060.24933 6478582.0035 -548.1577745 603.05777446 10.039325354 15.773540112 25.350274554 5.3007912654 1.2846934027 26.298291773
 614.00000000 435060.62135 6478582.8278 -558.1167488 613.01674883 10.411352348 16.597791217 21.253534489 5.0863727715 1.2846934027 22.201551707
 624.00000000 435060.91910 6478583.6446 -568.0788326 622.97883259 10.709097857 17.414640357 16.821982782 4.9000000000 1.2846934027 17.770000000
 634.00000000 435061.13725 6478584.4698 -578.0422830 632.94228299 10.927249177 18.239812437 10.904472325 4.9090148906 1.5173289351 11.852489543
 644.00000000 435061.27050 6478585.3190 -588.0052107 642.90521068 11.060495150 19.089019679 5.0699587557 4.9696304920 1.5173289351 6.0179759740
 654.00000000 435061.31883 6478586.1922 -597.9668393 652.86683932 11.108825394 19.962195903 359.43198278 5.0800000000 1.5173289351 0.3800000000
 664.00000000 435061.24980 6478587.0860 -607.9264494 662.82644936 11.039804573 20.856034435 349.99211196 5.2454476844 2.5930921012 350.94012918
 674.00000000 435061.03102 6478587.9971 -617.8823278 672.78232777 10.821017117 21.767137374 341.34327125 5.5419691368 2.5930921012 342.29128847
